"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"184","Kozeretska","2","M","AK",0.673076923076923,0.307320929723561,0.75,0,1,0.0602705929844582,0.45659109558929,0.75
"185","Kozeretska","2","M","GI",0.731818181818182,0.177866139656663,0.75,0.45,1,0.0536286589227368,0.243046898909726,0.9
"186","Kozeretska","2","M","KA",0.525,0.301134219546398,0.5,0,1,0.0869299613586604,0.573588989612187,0.5
"187","Kozeretska","2","M","MA",0.616,0.292161485027259,0.75,0.1,1,0.0584322970054518,0.474288125044252,0.85
"188","Kozeretska","2","M","MU",0.55,0.318952612829507,0.45,0,1,0.0613824589586167,0.579913841508194,0.3
"189","Kozeretska","2","M","RE",0.60625,0.257471681290713,0.625,0.2,1,0.0643679203226783,0.424695556768187,1
"190","Kozeretska","2","M","UM",0.544444444444444,0.338199770797262,0.5,0.1,1,0.0797144504421599,0.621183252484766,0.95
"191","Kozeretska","2","M","VA",0.641666666666667,0.317017349682947,0.725,0.05,1,0.0528362249471579,0.494053012492905,1
"192","Kozeretska","2","M","YE",0.684210526315789,0.256608560294419,0.7,0.1,1,0.0588700411774123,0.375043280430304,1
"193","Vieira","1","F","MU",0.91875,0.0985417573477177,0.95,0.65,1,0.0232265149502035,0.107256334528128,1
"194","Vieira","1","M","MU",0.947076023388889,0.0737057072185735,0.975,0.75,1,0.0173726017954679,0.0778244886348563,1
"195","Vieira","2","F","AK",0.923245614,0.104741029648281,0.9736842105,0.75,1,0.0427603462953355,0.113448716202925,1
"196","Vieira","2","F","GI",0.932894736833333,0.0681929395759234,0.95,0.8,1,0.0278396510035762,0.0730982144967406,0.95
"197","Vieira","2","F","MU",0.776896762555556,0.173730176226769,0.764705882,0.5,1,0.0579100587422562,0.223620672140908,0.736842105
"198","Vieira","2","F","UM",0.807017543833333,0.0574062324901794,0.8,0.75,0.9,0.0234359962760868,0.0711338098271071,0.8
"199","Vieira","2","M","AK",0.764473684166667,0.0330436526489645,0.763888889,0.722222222,0.8,0.0134900147046215,0.0432240551026744,0.8
"200","Vieira","2","M","GI",0.958333333333333,0.0801040989379861,1,0.8,1,0.032702361450581,0.0835868858483333,1
"201","Vieira","2","M","MU",0.827972709555556,0.232601925578767,0.9,0.368421053,1,0.0775339751929224,0.280929459261555,1
"202","Vieira","2","M","UM",0.492483660166667,0.325889588808883,0.5583333335,0,0.882352941,0.133043867511198,0.661726703173452,0
"203","Vieira","3","F","AK",0.660784313666667,0.191884059952314,0.55,0.55,0.882352941,0.110784313666667,0.290388340013032,0.55
