"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"194","Gonzalez","2","F","MU","MU14",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"195","Gonzalez","2","F","MU","MU18",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"196","Gonzalez","2","F","MU","MU19",1,NA,1,1,1,NA,NA,1
"197","Gonzalez","2","F","MU","MU20",1,NA,1,1,1,NA,NA,1
"198","Gonzalez","2","F","MU","MU3",1,NA,1,1,1,NA,NA,1
"199","Gonzalez","2","F","MU","MU7",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"200","Gonzalez","2","F","MU","MU8",1,NA,1,1,1,NA,NA,1
"201","Gonzalez","2","F","RE","RE10",0.952380952,NA,0.952380952,0.952380952,0.952380952,NA,NA,0.952380952
"202","Gonzalez","2","F","RE","RE11",0.954545455,NA,0.954545455,0.954545455,0.954545455,NA,NA,0.954545455
"203","Gonzalez","2","F","RE","RE13",0.705882353,NA,0.705882353,0.705882353,0.705882353,NA,NA,0.705882353
"204","Gonzalez","2","F","RE","RE18",1,NA,1,1,1,NA,NA,1
"205","Gonzalez","2","F","RE","RE2",0.833333333,NA,0.833333333,0.833333333,0.833333333,NA,NA,0.833333333
"206","Gonzalez","2","F","RE","RE3",0.846153846,NA,0.846153846,0.846153846,0.846153846,NA,NA,0.846153846
"207","Gonzalez","2","F","RE","RE6",0.3,NA,0.3,0.3,0.3,NA,NA,0.3
"208","Gonzalez","2","F","RE","RE7",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"209","Gonzalez","2","F","UM","UM13",0.666666667,NA,0.666666667,0.666666667,0.666666667,NA,NA,0.666666667
"210","Gonzalez","2","F","UM","UM18",0.52631579,NA,0.52631579,0.52631579,0.52631579,NA,NA,0.52631579
"211","Gonzalez","2","F","UM","UM20",0.6,NA,0.6,0.6,0.6,NA,NA,0.6
