Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplivateVial,Treatment,FliesNonInfected,FliesInfected,FliesControl,HostResistance,Virulence,Lethality
Hrcek,NS,4,GI,GI2,7,Hrcek_4_GI2_7,parasitoid,13,22,56,0.232142857,0.392857143,0.375
Hrcek,NS,4,GI,GI2,8,Hrcek_4_GI2_8,parasitoid,5,40,56,0.089285714,0.714285714,0.196428571
Hrcek,NS,4,GI,GI2,9,Hrcek_4_GI2_9,parasitoid,13,42,56,0.232142857,0.75,0.017857143
Hrcek,NS,4,GI,GI7,10,Hrcek_4_GI7_10,parasitoid,25,2,52.25,0.4784689,0.038277512,0.483253589
Hrcek,NS,4,GI,GI7,5,Hrcek_4_GI7_5,parasitoid,12,23,52.25,0.229665072,0.440191388,0.330143541
Hrcek,NS,4,GI,GI7,6,Hrcek_4_GI7_6,parasitoid,24,1,52.25,0.459330144,0.019138756,0.5215311
Hrcek,NS,4,GI,GI7,7,Hrcek_4_GI7_7,parasitoid,0,17,52.25,0,0.325358852,0.674641148
Hrcek,NS,4,GI,GI7,8,Hrcek_4_GI7_8,parasitoid,20,4,52.25,0.38277512,0.076555024,0.540669856
Hrcek,NS,4,GI,GI7,9,Hrcek_4_GI7_9,parasitoid,0,12,52.25,0,0.229665072,0.770334928
Hrcek,NS,1,GI,GI9,7,Hrcek_1_GI9_7,parasitoid,22,40,58.25,0.377682403,0.686695279,-0.064377682
Hrcek,NS,1,GI,GI9,6,Hrcek_1_GI9_6,parasitoid,5,54,58.25,0.08583691,0.927038627,-0.012875536
Hrcek,NS,1,GI,GI9,8,Hrcek_1_GI9_8,parasitoid,4,29,58.25,0.068669528,0.497854077,0.433476395
Hrcek,NS,1,GI,GI9,5,Hrcek_1_GI9_5,parasitoid,3,35,58.25,0.051502146,0.600858369,0.347639485
Hrcek,NS,1,KA,KA1,8,Hrcek_1_KA1_8,parasitoid,22,24,65.5,0.335877863,0.366412214,0.297709924
Hrcek,NS,1,KA,KA1,6,Hrcek_1_KA1_6,parasitoid,18,11,65.5,0.27480916,0.167938931,0.557251908
Hrcek,NS,1,KA,KA1,7,Hrcek_1_KA1_7,parasitoid,9,52,65.5,0.13740458,0.79389313,0.06870229
Hrcek,NS,1,KA,KA1,9,Hrcek_1_KA1_9,parasitoid,8,43,65.5,0.122137405,0.65648855,0.221374046
Hrcek,NS,1,KA,KA1,10,Hrcek_1_KA1_10,parasitoid,7,3,65.5,0.106870229,0.045801527,0.847328244
Hrcek,NS,1,KA,KA1,5,Hrcek_1_KA1_5,parasitoid,4,46,65.5,0.061068702,0.702290076,0.236641221
Hrcek,NS,4,KA,KA10,10,Hrcek_4_KA10_10,parasitoid,7,39,47.75,0.146596859,0.816753927,0.036649215
Hrcek,NS,4,KA,KA10,5,Hrcek_4_KA10_5,parasitoid,5,41,47.75,0.104712042,0.858638743,0.036649215
Hrcek,NS,4,KA,KA10,7,Hrcek_4_KA10_7,parasitoid,9,21,47.75,0.188481675,0.439790576,0.371727749
Hrcek,NS,4,KA,KA10,8,Hrcek_4_KA10_8,parasitoid,10,5,47.75,0.209424084,0.104712042,0.685863874
Hrcek,NS,4,KA,KA10,9,Hrcek_4_KA10_9,parasitoid,13,27,47.75,0.272251309,0.565445026,0.162303665
Hrcek,NS,4,KA,KA13,10,Hrcek_4_KA13_10,parasitoid,12,39,54.75,0.219178082,0.712328767,0.068493151
Hrcek,NS,4,KA,KA13,7,Hrcek_4_KA13_7,parasitoid,19,8,54.75,0.347031963,0.146118721,0.506849315
Hrcek,NS,4,KA,KA13,8,Hrcek_4_KA13_8,parasitoid,7,47,54.75,0.127853881,0.858447489,0.01369863
Hrcek,NS,4,KA,KA13,9,Hrcek_4_KA13_9,parasitoid,6,41,54.75,0.109589041,0.748858447,0.141552511
Hrcek,NS,3,KA,KA2,10,Hrcek_3_KA2_10,parasitoid,3,40,47.5,0.063157895,0.842105263,0.094736842
Hrcek,NS,3,KA,KA2,5,Hrcek_3_KA2_5,parasitoid,1,20,47.5,0.021052632,0.421052632,0.557894737
Hrcek,NS,3,KA,KA2,6,Hrcek_3_KA2_6,parasitoid,3,30,47.5,0.063157895,0.631578947,0.305263158
Hrcek,NS,3,KA,KA2,7,Hrcek_3_KA2_7,parasitoid,5,1,47.5,0.105263158,0.021052632,0.873684211
Hrcek,NS,3,KA,KA2,8,Hrcek_3_KA2_8,parasitoid,8,27,47.5,0.168421053,0.568421053,0.263157895
Hrcek,NS,3,KA,KA2,9,Hrcek_3_KA2_9,parasitoid,8,29,47.5,0.168421053,0.610526316,0.221052632
Hrcek,NS,3,KA,KA3,10,Hrcek_3_KA3_10,parasitoid,9,43,55,0.163636364,0.781818182,0.054545455
Hrcek,NS,3,KA,KA3,5,Hrcek_3_KA3_5,parasitoid,2,50,55,0.036363636,0.909090909,0.054545455
Hrcek,NS,3,KA,KA3,7,Hrcek_3_KA3_7,parasitoid,4,47,55,0.072727273,0.854545455,0.072727273
Hrcek,NS,3,KA,KA3,8,Hrcek_3_KA3_8,parasitoid,8,49,55,0.145454545,0.890909091,-0.036363636
