"Model","Trait","Lab","Sex","Population","Estimate","SE"
"lmer_pop","LS","Parsch","F","VA",56.4202896885996,2.99698736157924
"lmer_pop","LS","Parsch","F","YE",54.5916888659617,3.00747835134398
"lmer_pop","LS","Pasyukova","F","AK",43.6937500000375,1.21326995181792
"lmer_pop","LS","Pasyukova","F","GI",43.5605769230764,1.57832743681955
"lmer_pop","LS","Pasyukova","F","KA",46.4793749999977,1.27248826068503
"lmer_pop","LS","Pasyukova","F","MA",43.3337499999977,1.27248826068503
"lmer_pop","LS","Pasyukova","F","MU",43.6374999999998,1.27248826068506
"lmer_pop","LS","Pasyukova","F","RE",43.895312499999,1.42268512573112
"lmer_pop","LS","Pasyukova","F","UM",39.0402777777762,1.34132039986361
"lmer_pop","LS","Pasyukova","F","VA",43.7718749999976,1.27248826068503
