"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","F","19",1,"MA",5,"MA19; MA30; MA31; MA32; MA33",5,"Vieira_19_MA19_F_1; Vieira_19_MA30_F_1; Vieira_19_MA31_F_1; Vieira_19_MA32_F_1; Vieira_19_MA33_F_1",30
"Vieira","S","F","20",1,"MA",8,"MA12; MA13; MA16; MA18; MA20; MA21; MA23; MA26",8,"Vieira_20_MA12_F_1; Vieira_20_MA13_F_1; Vieira_20_MA16_F_1; Vieira_20_MA18_F_1; Vieira_20_MA20_F_1; Vieira_20_MA21_F_1; Vieira_20_MA23_F_1; Vieira_20_MA26_F_1",48
"Vieira","S","F","21",1,"MA",4,"MA27; MA28; MA7; MA9",4,"Vieira_21_MA27_F_1; Vieira_21_MA28_F_1; Vieira_21_MA7_F_1; Vieira_21_MA9_F_1",24
"Vieira","S","F","22",2,"VA; YE",12,"VA15; VA18; VA26; VA34; VA35; VA55; VA66; VA9; YE19; YE20; YE21; YE22",12,"Vieira_22_VA15_F_1; Vieira_22_VA18_F_1; Vieira_22_VA26_F_1; Vieira_22_VA34_F_1; Vieira_22_VA35_F_1; Vieira_22_VA55_F_1; Vieira_22_VA66_F_1; Vieira_22_VA9_F_1; Vieira_22_YE19_F_1; Vieira_22_YE20_F_1; Vieira_22_YE21_F_1; Vieira_22_YE22_F_1",72
"Vieira","S","F","23",2,"VA; YE",9,"VA1; VA11; VA44; VA46; VA6; YE11; YE23; YE24; YE40",9,"Vieira_23_VA1_F_1; Vieira_23_VA11_F_1; Vieira_23_VA44_F_1; Vieira_23_VA46_F_1; Vieira_23_VA6_F_1; Vieira_23_YE11_F_1; Vieira_23_YE23_F_1; Vieira_23_YE24_F_1; Vieira_23_YE40_F_1",54
"Vieira","S","F","24",1,"VA",5,"VA22; VA47; VA57; VA67; VA71",5,"Vieira_24_VA22_F_1; Vieira_24_VA47_F_1; Vieira_24_VA57_F_1; Vieira_24_VA67_F_1; Vieira_24_VA71_F_1",30
"Vieira","S","F","25",2,"VA; YE",4,"VA48; YE26; YE27; YE33",4,"Vieira_25_VA48_F_1; Vieira_25_YE26_F_1; Vieira_25_YE27_F_1; Vieira_25_YE33_F_1",24
"Vieira","S","F","26",1,"YE",6,"YE41; YE48; YE49; YE51; YE69; YE80",6,"Vieira_26_YE41_F_1; Vieira_26_YE48_F_1; Vieira_26_YE49_F_1; Vieira_26_YE51_F_1; Vieira_26_YE69_F_1; Vieira_26_YE80_F_1",36
"Vieira","S","F","27",2,"VA; YE",4,"VA30; YE13; YE14; YE15",4,"Vieira_27_VA30_F_1; Vieira_27_YE13_F_1; Vieira_27_YE14_F_1; Vieira_27_YE15_F_1",24
"Vieira","S","M","1",1,"UM",8,"UM13; UM17; UM18; UM20; UM5; UM6; UM7; UM9",8,"Vieira_1_UM13_M_1; Vieira_1_UM17_M_1; Vieira_1_UM18_M_1; Vieira_1_UM20_M_1; Vieira_1_UM5_M_1; Vieira_1_UM6_M_1; Vieira_1_UM7_M_1; Vieira_1_UM9_M_1",48
"Vieira","S","M","2",2,"RE; UM",7,"RE10; RE13; RE5; RE9; UM21; UM23; UM24",7,"Vieira_2_RE10_M_1; Vieira_2_RE13_M_1; Vieira_2_RE5_M_1; Vieira_2_RE9_M_1; Vieira_2_UM21_M_1; Vieira_2_UM23_M_1; Vieira_2_UM24_M_1",42
"Vieira","S","M","3",2,"AK; RE",6,"AK10; AK12; AK2; AK8; RE11; RE4",6,"Vieira_3_AK10_M_1; Vieira_3_AK12_M_1; Vieira_3_AK2_M_1; Vieira_3_AK8_M_1; Vieira_3_RE11_M_1; Vieira_3_RE4_M_1",36
