"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"VA","VA11",3,"Gibert_2_VA11_1; Gibert_2_VA11_2; Gibert_2_VA11_3",3,1,"2"
"Gibert","NS",NA,"VA","VA15",3,"Gibert_1_VA15_1; Gibert_1_VA15_2; Gibert_1_VA15_3",3,1,"1"
"Gibert","NS",NA,"VA","VA18",3,"Gibert_2_VA18_1; Gibert_2_VA18_2; Gibert_2_VA18_3",3,1,"2"
"Gibert","NS",NA,"VA","VA22",3,"Gibert_2_VA22_1; Gibert_2_VA22_2; Gibert_2_VA22_3",3,1,"2"
"Gibert","NS",NA,"VA","VA26",3,"Gibert_2_VA26_1; Gibert_2_VA26_2; Gibert_2_VA26_3",3,1,"2"
"Gibert","NS",NA,"VA","VA30",3,"Gibert_1_VA30_1; Gibert_1_VA30_2; Gibert_1_VA30_3",3,1,"1"
"Gibert","NS",NA,"VA","VA34",3,"Gibert_2_VA34_1; Gibert_2_VA34_2; Gibert_2_VA34_3",3,1,"2"
"Gibert","NS",NA,"VA","VA35",3,"Gibert_1_VA35_1; Gibert_1_VA35_2; Gibert_1_VA35_3",3,1,"1"
"Gibert","NS",NA,"VA","VA44",6,"Gibert_1_VA44_1; Gibert_1_VA44_2; Gibert_1_VA44_3; Gibert_2_VA44_1; Gibert_2_VA44_2; Gibert_2_VA44_3",6,2,"1; 2"
"Gibert","NS",NA,"VA","VA46",3,"Gibert_2_VA46_1; Gibert_2_VA46_2; Gibert_2_VA46_3",3,1,"2"
"Gibert","NS",NA,"VA","VA47",3,"Gibert_1_VA47_1; Gibert_1_VA47_2; Gibert_1_VA47_3",3,1,"1"
"Gibert","NS",NA,"VA","VA48",3,"Gibert_1_VA48_1; Gibert_1_VA48_2; Gibert_1_VA48_3",3,1,"1"
"Gibert","NS",NA,"VA","VA55",3,"Gibert_2_VA55_1; Gibert_2_VA55_2; Gibert_2_VA55_3",3,1,"2"
"Gibert","NS",NA,"VA","VA57",3,"Gibert_1_VA57_1; Gibert_1_VA57_2; Gibert_1_VA57_3",3,1,"1"
"Gibert","NS",NA,"VA","VA6",3,"Gibert_2_VA6_1; Gibert_2_VA6_2; Gibert_2_VA6_3",3,1,"2"
"Gibert","NS",NA,"VA","VA66",3,"Gibert_2_VA66_1; Gibert_2_VA66_2; Gibert_2_VA66_3",3,1,"2"
"Gibert","NS",NA,"VA","VA67",3,"Gibert_1_VA67_1; Gibert_1_VA67_2; Gibert_1_VA67_3",3,1,"1"
"Gibert","NS",NA,"VA","VA71",3,"Gibert_2_VA71_1; Gibert_2_VA71_2; Gibert_2_VA71_3",3,1,"2"
