Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Total	Dead	CSM_PropDead	CSM_PropDead_ED	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	CSM_PropDead_ED_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gonzalez	S	1	GI	GI2	M	1	Gonzalez_1_GI2_M_1	20	8	40	0.4	Spain	41.618	0.62	173	GI	GI	GI	0.684719203002283	#B82E00	-	-	-	0.066
Gonzalez	S	3	GI	GI2	M	2	Gonzalez_3_GI2_M_2	21	8	38.1	0.380952381	Spain	41.618	0.62	173	GI	GI	GI	0.665196055061848	#B82E00	-	-	-	0.066
Gonzalez	S	4	GI	GI2	M	3	Gonzalez_4_GI2_M_3	16	13	81.3	0.8125	Spain	41.618	0.62	173	GI	GI	GI	1.12296392986596	#B82E00	-	-	-	0.066
Gonzalez	S	1	RE	RE5	F	1	Gonzalez_1_RE5_F_1	19	18	94.7	0.9473684211	Portugal	41.15	-8.41	175	RE	RE	RE	1.33931896293078	#7BA354	-	-	-	0.066
Gonzalez	S	1	RE	RE5	M	1	Gonzalez_1_RE5_M_1	18	16	88.9	0.8888888889	Portugal	41.15	-8.41	175	RE	RE	RE	1.23095941735845	#7BA354	-	-	-	0.066
Gonzalez	S	1	YE	YE15	F	1	Gonzalez_1_YE15_F_1	19	19	100	1	Turkey	40.231	32.26	680	YE	YE	YE	1.5707963267949	#132B69	+	+	+	0.066
Gonzalez	S	1	YE	YE15	M	1	Gonzalez_1_YE15_M_1	18	17	94.4	0.9444444444	Turkey	40.231	32.26	680	YE	YE	YE	1.33285520186767	#132B69	+	+	+	0.066
Gonzalez	S	2	GI	GI12	F	1	Gonzalez_2_GI12_F_1	19	18	94.7	0.9473684211	Spain	41.618	0.62	173	GI	GI	GI	1.33931896293078	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI12	M	1	Gonzalez_2_GI12_M_1	20	19	95	0.95	Spain	41.618	0.62	173	GI	GI	GI	1.34528292089677	#B82E00	+	+	+	0.066
Gonzalez	S	1	GI	GI6	M	1	Gonzalez_1_GI6_M_1	20	17	85	0.85	Spain	41.618	0.62	173	GI	GI	GI	1.17309691170282	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI6	M	2	Gonzalez_2_GI6_M_2	20	15	75	0.75	Spain	41.618	0.62	173	GI	GI	GI	1.0471975511966	#B82E00	+	+	+	0.066
Gonzalez	S	3	GI	GI6	M	3	Gonzalez_3_GI6_M_3	17	3	17.6	0.1764705882	Spain	41.618	0.62	173	GI	GI	GI	0.433537909309546	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI13	F	2	Gonzalez_2_GI13_F_2	11	9	81.8	0.8181818182	Spain	41.618	0.62	173	GI	GI	GI	1.13028566381377	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI13	M	2	Gonzalez_2_GI13_M_2	12	10	83.3	0.8333333333	Spain	41.618	0.62	173	GI	GI	GI	1.15026199146621	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI4	F	2	Gonzalez_2_GI4_F_2	12	5	41.7	0.4166666667	Spain	41.618	0.62	173	GI	GI	GI	0.70167412382141	#B82E00	+	+	+	0.066
Gonzalez	S	1	GI	GI8	M	1	Gonzalez_1_GI8_M_1	18	6	33.3	0.3333333333	Spain	41.618	0.62	173	GI	GI	GI	0.615479708635032	#B82E00	-	-	-	0.066
Gonzalez	S	2	GI	GI8	M	2	Gonzalez_2_GI8_M_2	20	7	35	0.35	Spain	41.618	0.62	173	GI	GI	GI	0.633051836389749	#B82E00	-	-	-	0.066
Gonzalez	S	3	GI	GI8	M	3	Gonzalez_3_GI8_M_3	21	6	28.6	0.2857142857	Spain	41.618	0.62	173	GI	GI	GI	0.563942641344817	#B82E00	-	-	-	0.066
Gonzalez	S	1	GI	GI9	M	1	Gonzalez_1_GI9_M_1	19	18	94.7	0.9473684211	Spain	41.618	0.62	173	GI	GI	GI	1.33931896293078	#B82E00	-	-	-	0.066
Gonzalez	S	3	GI	GI9	M	2	Gonzalez_3_GI9_M_2	21	7	33.3	0.3333333333	Spain	41.618	0.62	173	GI	GI	GI	0.615479708635032	#B82E00	-	-	-	0.066
Gonzalez	S	4	GI	GI9	M	3	Gonzalez_4_GI9_M_3	20	17	85	0.85	Spain	41.618	0.62	173	GI	GI	GI	1.17309691170282	#B82E00	-	-	-	0.066
Gonzalez	S	1	KA	KA1	M	1	Gonzalez_1_KA1_M_1	15	14	93.3	0.9333333333	Denmark	55.945	10.213	15	KA	KA	KA	1.30963891582506	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA1	M	2	Gonzalez_3_KA1_M_2	19	15	78.9	0.7894736842	Denmark	55.945	10.213	15	KA	KA	KA	1.09411671519222	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA1	M	3	Gonzalez_6_KA1_M_3	20	20	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA1	M	4	Gonzalez_7_KA1_M_4	20	12	60	0.6	Denmark	55.945	10.213	15	KA	KA	KA	0.886077123792614	#D04E00	+	+	+	0.066
Gonzalez	S	8	KA	KA1	M	5	Gonzalez_8_KA1_M_5	20	16	80	0.8	Denmark	55.945	10.213	15	KA	KA	KA	1.10714871779409	#D04E00	+	+	+	0.066
Gonzalez	S	1	KA	KA10	M	1	Gonzalez_1_KA10_M_1	19	7	36.8	0.3684210526	Denmark	55.945	10.213	15	KA	KA	KA	0.652251154805624	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA10	M	2	Gonzalez_2_KA10_M_2	20	1	5	0.05	Denmark	55.945	10.213	15	KA	KA	KA	0.225513405898131	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA10	M	3	Gonzalez_3_KA10_M_3	20	1	5	0.05	Denmark	55.945	10.213	15	KA	KA	KA	0.225513405898131	#D04E00	+	+	+	0.066
Gonzalez	S	2	GI	GI4	M	2	Gonzalez_2_GI4_M_2	15	14	93.3	0.9333333333	Spain	41.618	0.62	173	GI	GI	GI	1.30963891582506	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI7	F	1	Gonzalez_2_GI7_F_1	20	15	75	0.75	Spain	41.618	0.62	173	GI	GI	GI	1.0471975511966	#B82E00	+	+	+	0.066
Gonzalez	S	2	GI	GI7	M	1	Gonzalez_2_GI7_M_1	19	16	84.2	0.8421052632	Spain	41.618	0.62	173	GI	GI	GI	1.16215847175504	#B82E00	+	+	+	0.066
Gonzalez	S	2	KA	KA13	M	1	Gonzalez_2_KA13_M_1	19	15	78.9	0.7894736842	Denmark	55.945	10.213	15	KA	KA	KA	1.09411671519222	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA13	M	2	Gonzalez_3_KA13_M_2	21	17	81	0.8095238095	Denmark	55.945	10.213	15	KA	KA	KA	1.11916288568505	#D04E00	+	+	+	0.066
Gonzalez	S	5	KA	KA13	M	3	Gonzalez_5_KA13_M_3	21	19	90.5	0.9047619048	Denmark	55.945	10.213	15	KA	KA	KA	1.25706844039819	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA13	M	4	Gonzalez_6_KA13_M_4	20	18	90	0.9	Denmark	55.945	10.213	15	KA	KA	KA	1.24904577239825	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA13	M	5	Gonzalez_7_KA13_M_5	21	7	33.3	0.3333333333	Denmark	55.945	10.213	15	KA	KA	KA	0.615479708635032	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA14	M	1	Gonzalez_2_KA14_M_1	19	11	57.9	0.5789473684	Denmark	55.945	10.213	15	KA	KA	KA	0.864677303694978	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA14	M	2	Gonzalez_3_KA14_M_2	19	17	89.5	0.8947368421	Denmark	55.945	10.213	15	KA	KA	KA	1.24037367887484	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA14	M	3	Gonzalez_4_KA14_M_3	19	16	84.2	0.8421052632	Denmark	55.945	10.213	15	KA	KA	KA	1.16215847175504	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA15	M	1	Gonzalez_2_KA15_M_1	20	9	45	0.45	Denmark	55.945	10.213	15	KA	KA	KA	0.735314452816668	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA15	M	2	Gonzalez_3_KA15_M_2	20	4	20	0.2	Denmark	55.945	10.213	15	KA	KA	KA	0.463647609000806	#D04E00	+	+	+	0.066
