Supervisor.PI	Diet	Batch	Population	Line	Sex	Individual	PercT4	PercT5	PercT6	TotalPerc	PercT4_asin	PercT5_asin	PercT6_asin	TotalPerc_asin	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK12	F	1	36.291	58.559	74.923	55.32878419	0.646529702044381	0.871411774812268	1.04630888726119	0.838787401648758	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	2	12.052	27.649	38.923	24.87349643	0.354540953745089	0.553682576216907	0.673701448351636	0.522136802103013	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	3	17.65	43.213	55.45	37.19563241	0.433576483930549	0.717317994706841	0.840006663578494	0.655911964531149	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	4	26.889	43.333	49.197	37.6735205	0.545149638006373	0.718529005326986	0.777367818169626	0.660849323191573	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	5	28.222	24.791	54.469	34.61136452	0.560068015879273	0.521182070075495	0.830147881460298	0.628972551140974	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	6	27.108	37.036	64.575	43.07667328	0.547616127126981	0.654259846418726	0.933295446022396	0.715941730659587	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	7	20.878	23.289	51.255	31.24526915	0.474534578179034	0.50360577431602	0.797949481542099	0.593148742481285	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	8	7.085	30.835	59.745	29.08525649	0.269424386595127	0.588714892390444	0.883475910371564	0.569614536329405	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	9	20.023	33.624	80.332	39.48528588	0.463935047051165	0.618559360528349	1.11131176403404	0.679460181574741	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK12	F	10	8.254	31.449	45.225	29.68047305	0.291404456989966	0.595344574236296	0.737575281895977	0.576148066227806	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
