"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"498","Schmidt","F","VA","VA48",1015.18311489,50.9067410947415,1039.096142,883.1798548,1049.298066,16.0981250115877,0.0501453780584772,1043.169386
"499","Schmidt","F","VA","VA55",1023.27445007,42.1599018569364,1024.187006,943.1711751,1081.684316,13.3321315797081,0.0412009718937597,1081.684316
"500","Schmidt","F","VA","VA57",1021.26270794,25.5967113960413,1019.483411,978.4476194,1061.094644,8.09439086214788,0.0250637874045873,1009.233785
"501","Schmidt","F","VA","VA66",1038.81102266,23.6546319011782,1042.7320475,999.7559126,1066.844582,7.4802514020602,0.0227708711066693,1056.60556
"502","Schmidt","F","VA","VA67",974.54339425,32.8038617812339,965.81077805,928.3495342,1032.917595,10.3734919278047,0.0336607502290644,983.1281861
"503","Schmidt","F","VA","VA71",1029.09589049,27.9475271992274,1030.2177155,970.2964759,1075.338396,8.8377840919065,0.0271573596372252,1026.190183
"504","Schmidt","F","YE","YE11",973.86,41.5827408107418,970.05,915.34,1042.44,15.7167987168113,0.0426988897898485,970.05
"505","Schmidt","F","YE","YE13",978.059,42.6553189206484,977.62,901.23,1042.02,13.4887962110124,0.0436122145194189,995.64
"506","Schmidt","F","YE","YE14",1037.928,21.725261691302,1037.485,1001.71,1075.81,6.87013097077163,0.0209313764454779,1058.26
"507","Schmidt","F","YE","YE15",1046.60428571429,20.5091921319383,1045.69,1019.78,1076.1,7.75174599599305,0.0195959374635479,1076.1
"508","Schmidt","F","YE","YE19",985.54,33.0951087356156,995.535,908.15,1016.62,10.4655923015481,0.0335806854471819,999.68
"509","Schmidt","F","YE","YE20",1023.127,31.4842740462953,1018.75,984.57,1076.92,9.95620164632186,0.0307725962136619,1076.92
"510","Schmidt","F","YE","YE21",1018.273,20.4876293569233,1016.095,984.26,1047.24,6.47875726252085,0.0201199770168936,1006.52
"511","Schmidt","F","YE","YE22",1021.1,54.610399091097,1030.96,900.45,1104.67,17.2693245058656,0.0534819303604906,1036.57
"512","Schmidt","F","YE","YE23",1014.202,56.6563837336781,1028.985,912.29,1103.71,17.9163216586937,0.0558630171639161,1047.08
"513","Schmidt","F","YE","YE24",1050.89375,16.1633332289918,1048.235,1027,1082.44,5.71460126639896,0.015380558909016,1051.51
"514","Schmidt","F","YE","YE26",1024.94428571429,23.8616727949117,1023.29,993.99,1059.7,9.01886458304742,0.023280946220684,1059.7
"515","Schmidt","F","YE","YE27",1031.25,19.1716776058388,1027.6,1000.49,1062.37,6.06261678008945,0.0185907176783891,1026.89
"516","Schmidt","F","YE","YE33",961.49,113.489994664239,991.81,658.3,1050.96,35.888687477935,0.118035543442198,1027.53
"517","Schmidt","F","YE","YE40",1064.445,17.4438192082878,1071.415,1032.6,1081.19,6.16732142598623,0.0163877130413387,1078.67
"518","Schmidt","F","YE","YE41",1004.434,20.8313194759984,1005.245,960.56,1037.72,6.58744162107803,0.0207393611486653,1015.01
"519","Schmidt","F","YE","YE48",981.689,43.8766393046079,980.7,906.28,1047.1,13.8750116276227,0.0446950503719691,1047.1
"520","Schmidt","F","YE","YE49",953.204,33.8561821697472,961.88,893.87,993.39,10.7062648533983,0.0355182963665147,949.39
