Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA23	-69.297	16.29
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA24	-50.876	15.051
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA25	24.899	15.759
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA29	50.818	15.051
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA3	39.353	14.241
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA5	-30.368	15.759
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA7	-4.614	16.879
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA9	20.151	16.879
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA16	-52.854	14.431
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA18	28.853	16.018
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA19	-33.654	15.276
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA20	-117.688	15.051
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA26	-17.787	15.759
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA3	33.917	15.051
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA30	60.903	16.29
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA5	-20.827	15.512
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA6	-10.62	15.276
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA7	33.539	15.276
lmer_pop	WA_L	StamenkovicRadak	F	MA	MA9	96.219	15.051
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU1	-3.302	14.836
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU11	-99.552	15.051
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU12	18.336	13.712
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU13	54.708	14.431
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU14	45.949	14.241
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU16	-56.903	15.051
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU17	-11.853	14.836
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU18	-53.698	14.241
