"Supervisor.PI","Diet","Batch","Population","Line","Sex","ReplicateVialOld","ReplicateVial","Individual","TimeDeath_min","Censor","Country","Latitude","Longitude","Altitude"
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",3,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",4,390,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",5,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",6,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",7,420,0,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",8,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",9,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",10,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",11,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",12,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",13,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",14,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",15,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",16,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",17,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",18,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",19,420,1,"Finland",61.1,23.52,88
"Vieira","S",6,"AK","AK12","F",3,"Vieira_6_AK12_F_3",20,420,1,"Finland",61.1,23.52,88
