Model	Trait	Sex	Population	Line	Coef_Vieira	Coef_Mensch	SE_Vieira	SE_Mensch
lmer_pop	CCRT	M	AK	AK6	1548.69333333342	2092.21086197409	107.692990003095	191.317652986456
lmer_pop	CCRT	M	AK	AK7	1562.24133333342	1675.24286197409	107.692990003095	181.042383886332
lmer_pop	CCRT	M	AK	AK8	1556.14233333342	1757.54986197409	107.692990003095	175.853634049018
lmer_pop	CCRT	M	AK	AK9	1592.05933333342	1778.15986197409	107.692990003095	177.242828129225
lmer_pop	CCRT	M	GI	GI1	1784.22797435897	1569.9912254859	116.371132406403	181.258094433876
lmer_pop	CCRT	M	GI	GI10	1865.55697435897	1716.3992254859	116.371132406403	182.12805997649
lmer_pop	CCRT	M	GI	GI11	1842.89297435897	1343.2152254859	116.371132406403	181.764319396849
lmer_pop	CCRT	M	GI	GI12	1788.97597435897	1463.6492254859	116.371132406403	181.258094433876
lmer_pop	CCRT	M	GI	GI13	1927.80997435897	1537.0092254859	116.371132406403	188.343973202754
lmer_pop	CCRT	M	GI	GI15	1815.67097435897	1822.1882254859	116.371132406403	189.764629701638
lmer_pop	CCRT	M	GI	GI2	1843.42097435897	1822.9482254859	116.371132406403	182.821181228543
lmer_pop	CCRT	M	GI	GI3	1882.10197435897	1394.1512254859	116.371132406403	191.463898178742
lmer_pop	CCRT	M	GI	GI4	1916.60397435897	NA	116.371132406403	NA
lmer_pop	CCRT	M	GI	GI5	1791.86697435897	1575.2602254859	116.371132406403	189.29502568953
lmer_pop	CCRT	M	GI	GI7	1877.69097435897	1741.3482254859	116.371132406403	181.258094433876
lmer_pop	CCRT	M	GI	GI8	1791.17097435897	1669.6362254859	116.371132406403	183.469751582651
lmer_pop	CCRT	M	GI	GI9	1855.17497435897	1911.0622254859	116.371132406403	183.086171904925
lmer_pop	CCRT	M	KA	KA1	1482.90026329209	2303.1998023076	107.922693414106	191.664257060838
lmer_pop	CCRT	M	KA	KA10	1456.38826329209	1543.9748023076	108.284838988453	191.907543931142
lmer_pop	CCRT	M	KA	KA11	1420.18326329209	1905.2358023076	107.922693414106	191.020648419701
lmer_pop	CCRT	M	KA	KA13	1435.27126329209	1643.4068023076	107.922693414106	176.903394412552
lmer_pop	CCRT	M	KA	KA14	1450.08426329209	1963.4268023076	108.284838988453	191.93196684941
lmer_pop	CCRT	M	KA	KA15	1453.06126329209	1721.5998023076	107.922693414106	177.089605213527
lmer_pop	CCRT	M	KA	KA16	1454.62226329209	1848.6168023076	107.922693414106	182.83225829892
lmer_pop	CCRT	M	KA	KA17	1447.44826329209	1718.0128023076	107.922693414106	175.198968974372
lmer_pop	CCRT	M	KA	KA18	1413.74726329209	1394.5338023076	107.922693414106	175.722650041715
lmer_pop	CCRT	M	KA	KA2	1398.25826329209	1814.5818023076	107.922693414106	176.098870418532
lmer_pop	CCRT	M	KA	KA23	1472.37026329209	1712.5458023076	107.922693414106	177.463960855952
lmer_pop	CCRT	M	KA	KA24	1462.68426329209	1706.6158023076	107.922693414106	175.94835561233
lmer_pop	CCRT	M	KA	KA25	1434.00526329209	2101.5888023076	107.922693414106	176.903394412552
lmer_pop	CCRT	M	KA	KA28	1428.87726329209	1623.2918023076	107.922693414106	177.501230696249
lmer_pop	CCRT	M	KA	KA29	1415.16126329209	1822.2808023076	107.922693414106	183.428075546474
lmer_pop	CCRT	M	KA	KA3	1512.15526329209	1998.9608023076	108.284838988453	177.486145030205
lmer_pop	CCRT	M	KA	KA5	1455.02326329209	1533.9308023076	107.922693414106	182.83225829892
lmer_pop	CCRT	M	KA	KA6	1421.13926329209	1499.4308023076	108.284838988453	179.590783810537
lmer_pop	CCRT	M	KA	KA7	1425.22726329209	1652.7648023076	107.922693414106	176.815627809543
lmer_pop	CCRT	M	KA	KA9	1474.43826329209	1718.1148023076	107.922693414106	175.198968974372
lmer_pop	CCRT	M	MA	MA12	1339.10440660003	1646.25679882595	107.749876758183	174.72822996086
lmer_pop	CCRT	M	MA	MA13	1318.48740660004	1787.39479882595	107.749876758183	177.03661348505
lmer_pop	CCRT	M	MA	MA16	1317.49540660004	1585.41879882595	107.749876758183	176.349204288693
lmer_pop	CCRT	M	MA	MA18	1273.87740660003	1743.48279882595	107.749876758183	184.386590017428
lmer_pop	CCRT	M	MA	MA19	1315.00540660004	1500.49779882595	107.749876758183	183.052080835633
lmer_pop	CCRT	M	MA	MA20	1313.19140660003	1845.14379882595	107.749876758183	183.549330944722
lmer_pop	CCRT	M	MA	MA21	1297.27940660003	1424.00879882595	107.749876758183	176.349204288693
lmer_pop	CCRT	M	MA	MA23	1312.22040660003	1420.41679882595	107.749876758183	175.630543409326
lmer_pop	CCRT	M	MA	MA26	1308.54840660003	1596.32579882595	107.749876758183	174.238121713519
lmer_pop	CCRT	M	MA	MA27	1377.97540660004	1644.30779882595	107.749876758183	174.72822996086
lmer_pop	CCRT	M	MA	MA28	1370.80040660003	1621.24679882595	107.749876758183	184.386590017428
lmer_pop	CCRT	M	MA	MA3	1311.20540660003	1654.63379882595	108.112601219301	177.021488224608
lmer_pop	CCRT	M	MA	MA30	1353.66540660003	1629.59979882595	107.749876758183	175.253317666899
lmer_pop	CCRT	M	MA	MA31	1418.40740660003	2237.38479882595	107.749876758183	181.63304816375
lmer_pop	CCRT	M	MA	MA32	1324.37540660003	1704.25479882595	107.749876758183	175.253317666899
lmer_pop	CCRT	M	MA	MA33	1323.34140660004	1659.23179882595	107.749876758183	183.518804426836
lmer_pop	CCRT	M	MA	MA5	1289.07040660003	1497.73579882595	107.749876758183	176.999245812673
lmer_pop	CCRT	M	MA	MA6	1322.83440660003	1765.26979882595	107.749876758183	175.253317666899
lmer_pop	CCRT	M	MA	MA7	1374.19840660004	1517.48979882595	107.749876758183	177.03661348505
lmer_pop	CCRT	M	MA	MA9	1331.40240660003	1295.13279882595	107.749876758183	176.623905206105
lmer_pop	CCRT	M	MU	MU1	1619.92833333333	1416.43517809851	107.692990003094	176.097204566266
lmer_pop	CCRT	M	MU	MU10	1665.48833333333	1714.31217809851	107.692990003094	176.901736136346
lmer_pop	CCRT	M	MU	MU11	1665.06633333333	1823.30417809851	107.692990003094	177.499578005282
lmer_pop	CCRT	M	MU	MU12	1666.16333333333	1594.33217809851	107.692990003094	176.901736136346
lmer_pop	CCRT	M	MU	MU13	1649.59833333333	1485.45017809851	107.692990003094	176.097204566266
lmer_pop	CCRT	M	MU	MU14	1655.25333333333	1685.96017809851	107.692990003094	175.197294565451
lmer_pop	CCRT	M	MU	MU15	1647.95233333333	1673.65317809851	107.692990003094	177.087948681025
lmer_pop	CCRT	M	MU	MU16	1739.83233333333	1426.65117809851	107.692990003094	177.499578005282
lmer_pop	CCRT	M	MU	MU17	1763.19333333333	1718.83417809851	107.692990003094	175.720980622842
lmer_pop	CCRT	M	MU	MU18	1673.44433333333	1658.07317809851	107.692990003094	182.830653797587
lmer_pop	CCRT	M	MU	MU19	1666.98633333333	1823.85617809851	107.692990003094	176.097204566266
lmer_pop	CCRT	M	MU	MU2	1768.10933333333	1703.46417809851	107.692990003094	177.484492198764
lmer_pop	CCRT	M	MU	MU20	1782.41733333333	2048.69017809851	107.692990003094	183.426476256982
lmer_pop	CCRT	M	MU	MU3	1656.39333333333	1700.81517809851	107.692990003094	183.653838860105
lmer_pop	CCRT	M	MU	MU4	1673.54933333333	1571.37117809851	107.692990003094	175.720980622842
lmer_pop	CCRT	M	MU	MU5	1653.20733333333	1661.89417809851	107.692990003094	177.499578005282
lmer_pop	CCRT	M	MU	MU6	1727.50833333333	1714.62917809851	107.692990003094	175.720980622842
lmer_pop	CCRT	M	MU	MU7	1812.57233333333	2022.52317809851	107.692990003094	183.426476256982
lmer_pop	CCRT	M	MU	MU8	1750.91133333333	1776.92017809851	107.692990003094	175.197294565451
lmer_pop	CCRT	M	MU	MU9	1650.59033333333	1450.61417809851	107.692990003094	175.197294565451
lmer_pop	CCRT	M	RE	RE10	1527.65116911579	1362.7934399229	111.89160506663	179.901091261915
lmer_pop	CCRT	M	RE	RE11	1535.64916911579	1575.7814399229	111.89160506663	179.196675645024
lmer_pop	CCRT	M	RE	RE12	1590.07216911579	1408.5294399229	111.89160506663	179.901091261915
lmer_pop	CCRT	M	RE	RE13	1581.82116911579	1550.1524399229	111.89160506663	178.063122836335
