Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	M	MU	MU12	-28.245	-89.257	89.368	156.841
lmer_pop	CCRT	M	MU	MU13	-44.81	-198.139	89.368	155.933
lmer_pop	CCRT	M	MU	MU14	-39.155	2.371	89.368	154.916
lmer_pop	CCRT	M	MU	MU15	-46.456	-9.936	89.368	157.051
lmer_pop	CCRT	M	MU	MU16	45.424	-256.938	89.368	157.515
lmer_pop	CCRT	M	MU	MU17	68.785	35.245	89.368	155.508
lmer_pop	CCRT	M	MU	MU18	-20.964	-25.516	89.368	163.499
lmer_pop	CCRT	M	MU	MU19	-27.422	140.267	89.368	155.933
lmer_pop	CCRT	M	MU	MU2	73.701	19.875	89.368	157.498
lmer_pop	CCRT	M	MU	MU20	88.009	365.101	89.368	164.165
lmer_pop	CCRT	M	MU	MU3	-38.015	17.226	89.368	164.419
lmer_pop	CCRT	M	MU	MU4	-20.859	-112.218	89.368	155.508
lmer_pop	CCRT	M	MU	MU5	-41.201	-21.695	89.368	157.515
lmer_pop	CCRT	M	MU	MU6	33.1	31.04	89.368	155.508
lmer_pop	CCRT	M	MU	MU7	118.164	338.934	89.368	164.165
lmer_pop	CCRT	M	MU	MU8	56.503	93.331	89.368	154.916
lmer_pop	CCRT	M	MU	MU9	-43.818	-232.975	89.368	154.916
lmer_pop	CCRT	M	RE	RE10	-35.999	-144.303	89.368	156.742
lmer_pop	CCRT	M	RE	RE11	-28.001	68.685	89.368	155.933
lmer_pop	CCRT	M	RE	RE12	26.422	-98.567	89.368	156.742
lmer_pop	CCRT	M	RE	RE13	18.171	43.056	89.368	154.629
lmer_pop	CCRT	M	RE	RE15	35.707	120.038	89.368	156.841
lmer_pop	CCRT	M	RE	RE16	52.547	123.27	89.368	154.916
lmer_pop	CCRT	M	RE	RE17	10.047	169.181	89.368	155.933
lmer_pop	CCRT	M	RE	RE18	-29.668	134.199	89.368	155.508
lmer_pop	CCRT	M	RE	RE2	-35.577	92.689	89.368	153.956
lmer_pop	CCRT	M	RE	RE3	0.804	-42.888	89.368	157.498
lmer_pop	CCRT	M	RE	RE4	-6.054	173.038	89.368	157.515
lmer_pop	CCRT	M	RE	RE5	9.414	-46.55	89.368	157.051
lmer_pop	CCRT	M	RE	RE6	8.895	-233.434	89.805	155.508
lmer_pop	CCRT	M	RE	RE7	-20.552	-102.234	89.368	157.051
lmer_pop	CCRT	M	RE	RE8	-13.862	-132.278	89.368	154.916
lmer_pop	CCRT	M	RE	RE9	7.704	NA	89.368	NA
lmer_pop	CCRT	M	UM	UM13	26.839	-504.137	89.368	156.841
lmer_pop	CCRT	M	UM	UM17	-8.318	179.812	89.368	164.419
lmer_pop	CCRT	M	UM	UM18	-8.381	-163.523	89.368	154.916
lmer_pop	CCRT	M	UM	UM2	-26.909	128.786	89.368	159.866
lmer_pop	CCRT	M	UM	UM20	24.606	-126.094	89.805	154.916
lmer_pop	CCRT	M	UM	UM21	-35.414	92.774	89.368	164.801
lmer_pop	CCRT	M	UM	UM22	2.956	NA	89.805	NA
lmer_pop	CCRT	M	UM	UM23	54.884	147.04	89.368	159.866
lmer_pop	CCRT	M	UM	UM24	49.059	NA	89.368	NA
lmer_pop	CCRT	M	UM	UM25	-8.445	-290.582	89.368	157.051
lmer_pop	CCRT	M	UM	UM26	-3.908	85.845	89.368	156.742
lmer_pop	CCRT	M	UM	UM28	14.831	52.436	89.368	164.767
lmer_pop	CCRT	M	UM	UM29	-67.405	-257.284	89.368	157.473
lmer_pop	CCRT	M	UM	UM4	-20.684	221.921	89.368	157.498
lmer_pop	CCRT	M	UM	UM5	-9.521	10.16	89.368	157.473
lmer_pop	CCRT	M	UM	UM6	-7.347	98.69	89.368	154.916
lmer_pop	CCRT	M	UM	UM7	-20.663	60.365	89.368	171.962
lmer_pop	CCRT	M	UM	UM8	36.778	376.259	89.368	156.742
lmer_pop	CCRT	M	UM	UM9	7.044	-112.468	89.368	164.247
lmer_pop	CCRT	M	VA	VA1	-0.663	-6.582	89.368	157.051
lmer_pop	CCRT	M	VA	VA11	-28.328	106.805	89.368	157.473
lmer_pop	CCRT	M	VA	VA15	16.05	251.909	89.368	172.607
lmer_pop	CCRT	M	VA	VA18	-11.615	-239.189	89.368	157.498
lmer_pop	CCRT	M	VA	VA22	21.39	-191.398	89.805	156.742
lmer_pop	CCRT	M	VA	VA26	14.151	73.645	89.368	157.515
lmer_pop	CCRT	M	VA	VA30	-33.983	-229.108	89.368	154.916
lmer_pop	CCRT	M	VA	VA34	16.409	194.061	89.368	155.508
lmer_pop	CCRT	M	VA	VA35	1.004	2.091	89.368	173.185
lmer_pop	CCRT	M	VA	VA44	30.4	-94.276	89.368	175.12
lmer_pop	CCRT	M	VA	VA46	-25.331	-104.955	89.368	157.473
lmer_pop	CCRT	M	VA	VA47	-1.844	313.429	89.368	163.15
