Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,19,2978.467784,2945.571319,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,20,2774.697254,2741.140904,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,21,2825.3154,2813.565761,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,22,2804.994247,2826.46827,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,23,2752.216714,2757.516543,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,24,2941.026879,2947.32514,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,25,2711.477488,2712.065344,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,26,2864.972275,2852.80308,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,27,2804.819484,2814.601905,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,28,2842.52212,2811.204586,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,29,2827.867888,2829.462681,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,3,Onder_4_VA71_3,30,2870.044266,2865.269364,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,1,2563.296774,2567.914913,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,2,2494.066317,2478.399824,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,3,2381.437327,2405.011538,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,4,2448.932874,2420.45038,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,5,2432.011198,2409.619372,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,6,2517.259833,2498.860884,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,7,2424.461563,2423.779379,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,8,2244.634661,2240.345541,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,9,2388.312523,2385.349613,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,1,Onder_4_VA71_1,10,2281.393852,2293.222932,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,11,2358.803264,2355.228988,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,12,2485.643007,2499.397948,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,13,2414.864963,2405.145574,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,14,2443.97219,2471.794103,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,15,2392.325272,2386.993225,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,16,2294.037626,2286.187119,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,17,2537.212299,2549.265873,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,18,2446.148365,2444.127142,Russia,57.979,33.244,217
