Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplicateVial,Individual,DT_EggPupa,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,10,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,11,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,12,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,13,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,14,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,15,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,16,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,1,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,2,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,3,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,4,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,5,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,6,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,7,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,8,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,9,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,10,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,11,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,12,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,13,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,14,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA71,1,Schmidt_1_VA71_1,15,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,1,96,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,2,96,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,3,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,4,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,5,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,6,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,7,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,8,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,9,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,10,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,11,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,12,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,13,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,14,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,15,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,16,112,Russia,57.979,33.244,217
