Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	M	AK	AK8	49.501	-4.169	20.796	12.721
lmer_pop	HSM	M	AK	AK9	-72.39	25.735	11.988	11.1
lmer_pop	HSM	M	GI	GI1	50.891	-13.057	12.139	13.639
lmer_pop	HSM	M	GI	GI10	37.619	4.5	12.657	12.938
lmer_pop	HSM	M	GI	GI11	28.553	-3.742	12.334	13.639
lmer_pop	HSM	M	GI	GI12	3.56	-22.926	12.139	12.892
lmer_pop	HSM	M	GI	GI13	-91.061	60.007	12.146	13.092
lmer_pop	HSM	M	GI	GI14	-16.095	NA	12.242	NA
lmer_pop	HSM	M	GI	GI15	14.755	-12.463	12.139	13.532
lmer_pop	HSM	M	GI	GI2	59.141	-16.74	12.545	11.188
lmer_pop	HSM	M	GI	GI3	50.027	18.298	16.768	11.154
lmer_pop	HSM	M	GI	GI4	-83.87	24.15	12.047	12.144
lmer_pop	HSM	M	GI	GI5	-27.047	-48.15	12.047	12.899
lmer_pop	HSM	M	GI	GI6	13.223	NA	12.234	NA
lmer_pop	HSM	M	GI	GI7	19.003	31.243	12.545	11.141
lmer_pop	HSM	M	GI	GI8	6.194	-25.239	12.234	12.921
lmer_pop	HSM	M	GI	GI9	-64.893	4.12	12.047	12.915
lmer_pop	HSM	M	KA	KA1	-3.772	12.383	12.498	11.554
lmer_pop	HSM	M	KA	KA10	9.632	18.024	13.16	14.067
lmer_pop	HSM	M	KA	KA11	26.423	18.396	12.883	13.843
lmer_pop	HSM	M	KA	KA14	25.778	16.206	13.165	14.123
lmer_pop	HSM	M	KA	KA15	-122.696	-46.933	11.863	14.374
lmer_pop	HSM	M	KA	KA17	11.028	41.298	12.894	12.164
lmer_pop	HSM	M	KA	KA18	19.478	0.953	13.029	12.412
lmer_pop	HSM	M	KA	KA23	1.235	-38.672	12.162	12.075
lmer_pop	HSM	M	KA	KA24	12.113	13.629	16.577	12.103
lmer_pop	HSM	M	KA	KA28	-29.653	33.142	11.863	13.036
lmer_pop	HSM	M	KA	KA29	5.532	-11.653	12.498	12.929
lmer_pop	HSM	M	KA	KA3	49.191	-33.731	14.615	11.449
lmer_pop	HSM	M	KA	KA5	25.243	-22.991	12.515	11.631
lmer_pop	HSM	M	KA	KA7	30.266	26.874	18.835	12.882
lmer_pop	HSM	M	KA	KA9	-59.8	37.85	11.863	13.794
lmer_pop	HSM	M	MA	MA12	38.672	22.79	14.89	12.369
lmer_pop	HSM	M	MA	MA16	-5.149	-9.605	12.689	12.393
lmer_pop	HSM	M	MA	MA18	89.344	-14.93	22.632	12.393
lmer_pop	HSM	M	MA	MA19	34.049	-36.229	13.225	12.393
lmer_pop	HSM	M	MA	MA20	-83.887	-32.436	11.94	11.994
lmer_pop	HSM	M	MA	MA21	-36.823	5.791	12.037	12.049
lmer_pop	HSM	M	MA	MA23	45.451	21.052	17.84	12.049
lmer_pop	HSM	M	MA	MA26	35.865	13.991	13.695	12.078
lmer_pop	HSM	M	MA	MA3	37.654	-14.638	12.137	12.907
lmer_pop	HSM	M	MA	MA30	-113.6	7.629	11.94	12.654
lmer_pop	HSM	M	MA	MA33	-7.436	-42.678	11.94	12.4
lmer_pop	HSM	M	MA	MA5	53.837	16.137	13.534	13.731
lmer_pop	HSM	M	MA	MA6	10.815	24.616	13.87	13
lmer_pop	HSM	M	MA	MA7	-8.614	-12.04	12.239	14.465
lmer_pop	HSM	M	MA	MA9	-90.177	48.403	11.94	15.178
lmer_pop	HSM	M	MU	MU1	31.325	-5.716	12.57	12.008
lmer_pop	HSM	M	MU	MU10	62.402	-30.68	12.345	12.122
lmer_pop	HSM	M	MU	MU11	47.272	-89.523	13.228	10.811
lmer_pop	HSM	M	MU	MU14	64.278	21.616	13.705	11.26
lmer_pop	HSM	M	MU	MU15	-88.753	5.01	11.94	10.843
lmer_pop	HSM	M	MU	MU17	67.524	1.577	12.694	11.141
lmer_pop	HSM	M	MU	MU18	19.417	-27.293	12.345	11.121
lmer_pop	HSM	M	MU	MU2	42.831	-47.521	12.819	12.251
lmer_pop	HSM	M	MU	MU20	-1.024	-50.111	11.94	11.154
lmer_pop	HSM	M	MU	MU3	-125.406	-4.335	11.94	11.982
lmer_pop	HSM	M	MU	MU4	-47.437	3.058	11.94	11.383
lmer_pop	HSM	M	MU	MU5	9.44	43.285	12.703	12.361
lmer_pop	HSM	M	MU	MU6	61.687	60.147	12.579	12.78
lmer_pop	HSM	M	MU	MU7	-15.656	42.167	12.465	11.265
lmer_pop	HSM	M	MU	MU9	-127.9	53.214	11.94	11.517
lmer_pop	HSM	M	RE	RE10	-57.125	-38.701	11.707	11.69
lmer_pop	HSM	M	RE	RE11	-8.761	11.661	11.707	11.69
lmer_pop	HSM	M	RE	RE12	-51.145	-25.281	11.803	12.583
lmer_pop	HSM	M	RE	RE13	-44.43	6.574	11.808	11.69
lmer_pop	HSM	M	RE	RE15	-114.274	-8.07	11.707	11.604
lmer_pop	HSM	M	RE	RE16	-29.267	5.433	12.201	11.752
lmer_pop	HSM	M	RE	RE17	44.1	30.483	12.394	11.69
lmer_pop	HSM	M	RE	RE18	4.442	26.152	12.391	11.926
lmer_pop	HSM	M	RE	RE2	23.327	0.603	12.201	12.95
lmer_pop	HSM	M	RE	RE3	-104.187	-18.2	12.295	13.104
lmer_pop	HSM	M	RE	RE4	81.453	-28.486	12.702	13.225
lmer_pop	HSM	M	RE	RE5	132.933	11.842	14.095	13.098
lmer_pop	HSM	M	RE	RE6	110.148	-2.625	12.817	12.944
lmer_pop	HSM	M	RE	RE7	90.202	11.42	12.936	13.043
lmer_pop	HSM	M	RE	RE8	-77.415	-9.276	12.201	13.07
lmer_pop	HSM	M	UM	UM13	-15.056	-19.357	12.813	12.606
lmer_pop	HSM	M	UM	UM17	-15.659	-22.201	12.39	12.416
lmer_pop	HSM	M	UM	UM18	48.461	60.774	13.608	13.465
lmer_pop	HSM	M	UM	UM2	49.138	7.397	15.109	11.297
lmer_pop	HSM	M	UM	UM20	-115.701	16.167	12.201	12.548
lmer_pop	HSM	M	UM	UM21	16.079	19.074	12.817	13.62
lmer_pop	HSM	M	UM	UM23	47.147	49.9	21.77	14.413
lmer_pop	HSM	M	UM	UM25	51.004	-7.034	18.476	11.353
