"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"72","Billeter","1","MA","MA7",81,42.2137418384109,85,21,133,18.8785592670627,0.521157306647048,63
"73","Billeter","1","MU","MU1",69.5,48.5901224530254,87,0,104,24.2950612265127,0.699138452561516,104
"74","Billeter","1","MU","MU10",97,15.556349186104,105,75,113,6.95701085237043,0.160374733877361,105
"75","Billeter","1","MU","MU11",36.4,27.4098522433084,40,0,74,12.2580585738525,0.753017918772209,0
"76","Billeter","1","MU","MU12",103.8,16.4833249073116,101,91,132,7.37156699759284,0.158798891207241,132
"77","Billeter","1","MU","MU13",25,15.556349186104,27,9,41,6.95701085237043,0.622253967444162,9
"78","Billeter","1","MU","MU14",125,61.8465843842649,125,32,184,27.6586333718787,0.494772675074119,106
"79","Billeter","1","MU","MU15",80.4,23.4158066271482,78,54,113,10.4718670732587,0.291241375959555,54
"80","Billeter","1","MU","MU16",60.6,46.907355499964,65,1,106,20.9776071085336,0.774048770626468,106
"81","Billeter","1","MU","MU17",188.5,53.1946112559032,189,126,250,26.5973056279516,0.282199529209036,169
"82","Billeter","1","MU","MU18",68.8,21.487205495364,80,40,89,9.60937042682818,0.312314033362849,89
"83","Billeter","1","MU","MU19",104.6,30.7538615461538,124,58,127,13.7535449975634,0.294013972716576,58
"84","Billeter","1","MU","MU2",151,87.9545337091841,148,42,244,39.3344632606065,0.582480355689961,232
"85","Billeter","1","MU","MU3",86.4,42.7936911238094,88,42,142,19.1379204721934,0.495297350970016,142
"86","Billeter","1","MU","MU4",16,NA,16,16,16,NA,NA,16
"87","Billeter","1","MU","MU5",138.6,78.4079077644596,173,0,190,35.065082346973,0.565713620234196,173
"88","Billeter","1","MU","MU6",114.4,35.4302130956053,116,65,162,15.8448729878153,0.30970465992662,162
"89","Billeter","1","MU","MU7",61.6,71.5492837140946,32,0,151,31.9978124252268,1.16151434600803,0
"90","Billeter","1","MU","MU8",45.4,57.7260772961406,31,1,142,25.8158865817155,1.27149949991499,1
