"Supervisor.PI","Diet","Batch","Population","Sex","ReplicateCageOld","ReplicateCage","Individual","Censor","LSP_AgeAtDeath_days","Country","Latitude","Longitude","Altitude"
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",42,1,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",43,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",44,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",45,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",46,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",47,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",48,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",49,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",50,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",51,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",52,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",53,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",54,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",55,0,73,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",56,1,73,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",57,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",58,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",59,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",60,0,80,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",61,0,89,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",1,1,21,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",2,1,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",3,1,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",4,0,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",5,1,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",6,1,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",7,0,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",8,1,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",9,0,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",10,0,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",11,1,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",12,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",13,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",14,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",15,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",16,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",17,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",18,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",19,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",5,"Flatt_AK_F_5",20,0,52,"Finland",61.1,23.52,88
