Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Via	Hoedjes	NA	GI	GI7	0.083	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI8	0.018	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI9	-0.072	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA1	-0.009	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA10	-0.037	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA11	0.177	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA13	-0.044	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA14	0.078	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA15	0.135	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA16	0.001	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA17	-0.155	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA18	-0.133	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA2	-0.08	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA23	-0.077	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA24	-0.131	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA25	-0.022	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA28	0.235	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA29	0.133	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA3	-0.225	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA5	-0.016	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA6	0.031	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA7	0.003	0.053
lmer_pop	Via	Hoedjes	NA	KA	KA9	0.135	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA12	0.119	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA13	-0.043	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA16	0.131	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA18	0.06	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA19	0.011	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA20	0.005	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA21	0.048	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA23	0.005	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA26	0.075	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA27	0.037	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA28	-0.187	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA3	-0.024	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA30	0.038	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA31	-0.138	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA32	0.044	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA33	-0.096	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA5	0.013	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA6	-0.11	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA7	-0.027	0.053
lmer_pop	Via	Hoedjes	NA	MA	MA9	0.038	0.053
lmer_pop	Via	Hoedjes	NA	MU	MU1	0.026	0.053
lmer_pop	Via	Hoedjes	NA	MU	MU10	0.055	0.053
lmer_pop	Via	Hoedjes	NA	MU	MU11	-0.133	0.053
