Model	Trait	Sex	Population	Line	Estimate_Parsch	Estimate_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	M	AK	AK19	NA	-8.877	NA	2.733
lmer_pop	LS	M	AK	AK2	NA	5.524	NA	2.733
lmer_pop	LS	M	AK	AK24	NA	3.5	NA	2.733
lmer_pop	LS	M	AK	AK5	NA	2.459	NA	2.733
lmer_pop	LS	M	KA	KA13	NA	-2.895	NA	2.733
lmer_pop	LS	M	KA	KA16	NA	-5.56	NA	2.733
lmer_pop	LS	M	KA	KA2	NA	5.222	NA	2.733
lmer_pop	LS	M	KA	KA25	NA	-6.687	NA	2.733
lmer_pop	LS	M	KA	KA6	NA	0.819	NA	2.733
lmer_pop	LS	M	MA	MA13	NA	6.606	NA	2.733
lmer_pop	LS	M	MA	MA27	NA	-8.453	NA	2.733
lmer_pop	LS	M	MA	MA28	NA	4.716	NA	2.733
lmer_pop	LS	M	MA	MA31	NA	-9.676	NA	2.733
lmer_pop	LS	M	MA	MA32	NA	5.155	NA	2.733
lmer_pop	LS	M	MU	MU12	NA	-0.724	NA	2.733
lmer_pop	LS	M	MU	MU13	NA	-5.537	NA	2.733
lmer_pop	LS	M	MU	MU16	NA	1.167	NA	2.733
lmer_pop	LS	M	MU	MU19	NA	-2.271	NA	2.733
lmer_pop	LS	M	MU	MU8	NA	0.966	NA	2.733
lmer_pop	LS	M	RE	RE1	NA	-5.873	NA	2.733
lmer_pop	LS	M	UM	UM22	NA	-1.2	NA	2.733
lmer_pop	LS	M	UM	UM24	NA	1.092	NA	2.733
lmer_pop	LS	M	UM	UM6	NA	-0.025	NA	2.733
lmer_pop	LS	M	VA	VA11	NA	-3.945	NA	2.733
lmer_pop	LS	M	VA	VA15	NA	4.984	NA	2.733
lmer_pop	LS	M	VA	VA35	NA	-0.44	NA	2.733
lmer_pop	LS	M	VA	VA44	NA	2.205	NA	2.733
lmer_pop	LS	M	VA	VA46	NA	-4.795	NA	2.733
lmer_pop	LS	M	YE	YE14	NA	6.728	NA	2.733
lmer_pop	LS	M	YE	YE20	NA	1.074	NA	2.733
lmer_pop	LS	M	YE	YE27	NA	-0.034	NA	2.733
lmer_pop	LS	M	YE	YE41	NA	3.844	NA	2.733
lmer_pop	LS	M	YE	YE49	NA	5.009	NA	2.733
