Model	Trait	Sex	Population	Line	Coef_Parsch	Coef_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	KA	KA2	NA	55.1003749999977	NA	2.74390002980816
lmer_pop	LS	F	KA	KA25	NA	38.6023749999977	NA	2.74390002980816
lmer_pop	LS	F	KA	KA6	NA	43.6363749999977	NA	2.74390002980816
lmer_pop	LS	F	MA	MA13	NA	49.8907499999977	NA	2.74390002980816
lmer_pop	LS	F	MA	MA27	NA	39.5277499999977	NA	2.74390002980816
lmer_pop	LS	F	MA	MA28	NA	44.7617499999977	NA	2.74390002980816
lmer_pop	LS	F	MA	MA31	NA	37.7517499999977	NA	2.74390002980816
lmer_pop	LS	F	MA	MA32	NA	44.3817499999977	NA	2.74390002980816
lmer_pop	LS	F	MU	MU12	NA	43.3334999999998	NA	2.74390002980817
lmer_pop	LS	F	MU	MU13	NA	37.6914999999998	NA	2.74390002980817
lmer_pop	LS	F	MU	MU16	NA	39.8384999999998	NA	2.74390002980817
lmer_pop	LS	F	MU	MU19	NA	38.0904999999998	NA	2.74390002980817
lmer_pop	LS	F	MU	MU8	NA	46.4584999999998	NA	2.74390002980817
lmer_pop	LS	F	RE	RE1	NA	40.185312499999	NA	2.81669912610072
lmer_pop	LS	F	UM	UM22	NA	41.2892777777762	NA	2.77649084549009
lmer_pop	LS	F	UM	UM24	NA	41.9442777777762	NA	2.77649084549009
lmer_pop	LS	F	UM	UM6	NA	37.9082777777762	NA	2.77649084549009
lmer_pop	LS	F	VA	VA11	NA	40.6398749999976	NA	2.74390002980816
lmer_pop	LS	F	VA	VA15	NA	45.3418749999976	NA	2.74390002980816
lmer_pop	LS	F	VA	VA35	NA	41.8268749999976	NA	2.74390002980816
lmer_pop	LS	F	VA	VA44	NA	45.8448749999976	NA	2.74390002980816
lmer_pop	LS	F	VA	VA46	NA	40.4968749999976	NA	2.74390002980816
lmer_pop	LS	F	YE	YE14	NA	41.4702499999978	NA	2.74390002980816
lmer_pop	LS	F	YE	YE20	NA	45.6492499999978	NA	2.74390002980816
lmer_pop	LS	F	YE	YE27	NA	37.9562499999978	NA	2.74390002980816
lmer_pop	LS	F	YE	YE41	NA	41.6602499999978	NA	2.74390002980816
lmer_pop	LS	F	YE	YE49	NA	44.2912499999978	NA	2.74390002980816
lmer_pop	LS	M	AK	AK1	58.5688775594441	49.1498181818668	3.74838856661564	3.05812844120995
lmer_pop	LS	M	AK	AK10	61.1178775594441	41.4338181818668	3.88140616868872	3.05812844120995
lmer_pop	LS	M	AK	AK11	53.1728775594441	45.2058181818668	3.71359298339692	3.05812844120995
lmer_pop	LS	M	AK	AK13	62.3338775594441	47.1828181818668	3.66907738353048	3.05812844120995
lmer_pop	LS	M	AK	AK14	59.9428775594441	55.7388181818668	3.65265504069778	3.05812844120995
lmer_pop	LS	M	AK	AK17	56.6498775594441	44.0698181818668	3.58732892920831	3.05812844120995
lmer_pop	LS	M	AK	AK18	63.3528775594441	56.5408181818668	3.75254071881104	3.05812844120995
lmer_pop	LS	M	AK	AK20	63.6798775594441	45.5968181818668	3.84607772234713	3.05812844120995
lmer_pop	LS	M	AK	AK21	62.5438775594441	51.0408181818668	3.72269174742348	3.05812844120995
lmer_pop	LS	M	AK	AK3	63.6798775594441	56.9808181818668	3.80503256836717	3.05812844120995
lmer_pop	LS	M	AK	AK4	56.1868775594441	51.4508181818668	3.58001701760409	3.05812844120995
lmer_pop	LS	M	AK	AK6	52.8298775594441	49.3218181818668	3.78333039085075	3.05812844120995
lmer_pop	LS	M	AK	AK7	63.1828775594441	50.9258181818668	3.82260040369574	3.05812844120995
lmer_pop	LS	M	AK	AK8	66.8788775594441	50.8398181818668	3.73428679219136	3.05812844120995
lmer_pop	LS	M	AK	AK9	62.9688775594441	48.0138181818668	3.74921883148141	3.05812844120995
