"Models","Trait","Sex","Population","Estimate","SE","LLEst","ULEst","Q","P","N_lab","N_lab_av"
"lmers","LA_AbsPhase","B","RE",13.73125,0.667159117601036,12.4236421575445,15.0388578424556,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","GI",12.863,0.596725255505874,11.693439990543,14.032560009457,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","MU",13.4857446808511,0.674219199053708,12.1642993330204,14.8071900286818,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","MA",11.6951219512195,0.510438140748366,10.6946815790171,12.6955623234219,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","UM",12.0318309859155,0.548555874046474,10.9566812292765,13.1069807425545,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","KA",11.4341666666667,0.504324888594752,10.4457080485138,12.4226252848196,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","VA",13.8239436619718,0.548555874046475,12.7487939053329,14.8990934186108,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_AbsPhase","B","AK",11.9932857142857,0.552460235589251,10.9104835496403,13.0760878789312,20.3033933937752,0.00924717716442268,1,1
"lmers","LA_Activity","B","YE",34.7576408665359,1.75738872988391,31.3132222491268,38.2020594839449,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","RE",40.0589607804769,2.63439184252631,34.8956476479592,45.2222739129945,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","GI",34.2558793402698,2.45193626671116,29.4501725651284,39.0615861154113,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","MU",24.8383745822011,2.4327917784772,20.0701903145006,29.6065588499015,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","MA",37.1822852542192,2.23695767314176,32.7979287799208,41.5666417285175,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","UM",26.1906616442832,2.36798155194695,21.5495030864119,30.8318202021545,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","KA",35.7664822486832,2.2433628038039,31.3695719489707,40.1633925483956,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","VA",28.9938562599993,2.39397218760017,24.3017569923124,33.6859555276862,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_Activity","B","AK",30.4574096329741,2.45291101702778,25.6497923823181,35.26502688363,36.6916908179998,1.31129011307832e-05,1,1
"lmers","LA_CircPhase","B","YE",12.8272211821897,0.720225156353836,11.4156058149765,14.238836549403,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","RE",12.9026611916698,1.00144146885105,10.9398719800969,14.8654504032428,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","GI",13.2238347895871,0.886328936808652,11.4866619949865,14.9610075841877,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","MU",12.26181588645,0.985833587414874,10.329617560367,14.1940142125331,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","MA",12.8658065409247,0.761354998535744,11.3735781643451,14.3580349175043,24.8041260343053,0.0016778949699361,1,1
