Model	Trait	Sex	Population	Line	Estimate_Schmidt	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_A	F	KA	KA10	-1.674	-0.767	NA	6.435	-12.417	20.799	3.857	2.073	NA	2.041	6.774	2.101
lmer_pop	DT_A	F	KA	KA11	0.362	-1.402	NA	1.398	3.247	1.528	3.246	1.398	NA	1.903	6.734	2.144
lmer_pop	DT_A	F	KA	KA13	-7.44	-0.576	NA	0.728	-0.637	3.235	3.857	2.003	NA	2.125	6.795	2.251
lmer_pop	DT_A	F	KA	KA14	28.024	7.412	NA	4.974	-6.51	-2.084	9.189	1.848	NA	2.015	6.801	3.047
lmer_pop	DT_A	F	KA	KA15	-2.18	-2.072	NA	0.971	-4.412	4.714	6.24	1.839	NA	1.943	6.762	2.134
lmer_pop	DT_A	F	KA	KA16	-1.54	-6.683	NA	-0.865	-4.119	-3.116	4.529	1.954	NA	2.144	6.76	2.189
lmer_pop	DT_A	F	KA	KA17	6.165	-7.385	NA	-3.521	7.714	4.935	3.997	1.865	NA	2.199	6.947	2.086
lmer_pop	DT_A	F	KA	KA18	28.922	-0.912	NA	-3.624	-1.29	1.812	5.03	1.94	NA	2.232	6.905	2.215
lmer_pop	DT_A	F	KA	KA2	-8.718	3.706	NA	3.412	6.896	-1.758	3.617	1.93	NA	2.087	6.783	1.633
lmer_pop	DT_A	F	KA	KA23	15.57	-3.876	NA	-2.475	-12.201	-2.775	4.153	1.898	NA	2.232	6.708	2.238
lmer_pop	DT_A	F	KA	KA24	-10.746	-3.595	NA	-2.502	13.474	5.531	4.329	1.867	NA	2.168	6.737	2.274
lmer_pop	DT_A	F	KA	KA25	7.236	3.253	NA	1.108	-5.347	-0.6	4.329	1.944	NA	2.131	6.715	2.084
lmer_pop	DT_A	F	KA	KA28	4.643	-2.043	NA	2.461	40.419	1.371	5.03	1.887	NA	2.048	6.796	2.237
lmer_pop	DT_A	F	KA	KA29	-12.183	1.21	NA	-1.886	-5.364	-10.708	5.352	1.888	NA	1.981	6.724	2.497
