Model	Trait	Sex	Population	Line	Coef_Schmidt	Coef_Gibert	Coef_Grath	Coef_Hoedjes	Coef_StamenkovicRadak	Coef_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	YE	YE19	147.718245975657	NA	NA	NA	NA	NA	5.38965214624652	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE20	133.884245975657	NA	NA	NA	NA	NA	3.57810428265299	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE21	135.402245975657	NA	NA	NA	NA	NA	3.55583889645463	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE22	121.594245975657	NA	NA	NA	NA	NA	3.51496077610259	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE23	137.315245975657	NA	NA	NA	NA	NA	4.05292860257119	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE24	125.844245975657	NA	NA	NA	NA	NA	3.46233812004831	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE26	144.247245975657	NA	NA	NA	NA	NA	3.71831551344687	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE27	139.484245975657	NA	NA	NA	NA	NA	4.05292860257119	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE33	151.350245975657	NA	NA	NA	NA	NA	3.47894312364254	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE40	124.973245975657	NA	NA	NA	NA	NA	4.2057073433062	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE41	131.109245975657	NA	NA	NA	NA	NA	3.79235734834413	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE48	131.524245975657	NA	NA	NA	NA	NA	4.29958582395324	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE49	132.729245975657	NA	NA	NA	NA	NA	3.79235734834413	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE51	136.591245975657	NA	NA	NA	NA	NA	5.38965214624652	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE69	133.617245975657	NA	NA	NA	NA	NA	3.65623717194874	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE80	138.574245975657	NA	NA	NA	NA	NA	4.12435610217397	NA	NA	NA	NA	NA
lmer_pop	DT_A	F	AK	AK1	233.533535716851	209.472651711481	307.611713870422	228.430110894337	234.001492060479	214.395109521818	5.42958267261729	2.48079642082091	3.00038814237268	2.38221509602351	8.31034857852687	2.90401196265524
lmer_pop	DT_A	F	AK	AK10	216.556535716851	219.552651711481	NA	225.165110894337	257.201492060479	221.680109521818	5.77615512246563	2.4738374808297	NA	2.36793913851736	8.27094417201709	3.00329576952466
lmer_pop	DT_A	F	AK	AK11	225.479535716851	225.714651711481	NA	232.707110894337	238.179492060479	222.077109521818	6.75145754624777	2.43160171112743	NA	2.40833879753707	8.21364337530085	3.11578793874756
lmer_pop	DT_A	F	AK	AK12	208.42353571685	219.693651711481	309.277713870422	228.799110894337	244.879492060479	220.445109521818	6.02140249433518	2.07264441753955	2.80565589566693	2.33365909329583	8.22754121816619	3.12283436628406
lmer_pop	DT_A	F	AK	AK13	218.80353571685	224.932651711481	NA	234.998110894337	NA	223.243109521818	6.99465388699012	2.44536845517354	NA	2.35369937836639	NA	3.14335958478262
lmer_pop	DT_A	F	AK	AK14	217.217535716851	227.374651711481	309.649713870422	237.254110894337	NA	221.122109521818	6.99465388699012	2.49553038081243	2.9449619700245	2.39062936561114	NA	3.0898578412679
lmer_pop	DT_A	F	AK	AK15	249.990535716851	219.869651711481	309.391713870422	233.788110894337	223.069492060479	220.346109521818	6.99465388699012	2.56687570434523	2.98158280195111	2.46603807020944	8.42247882138172	3.05104662030011
lmer_pop	DT_A	F	AK	AK16	207.11353571685	219.026651711481	NA	229.674110894337	223.745492060479	219.010109521818	6.24672073961898	2.43083851408477	NA	2.39399848866333	8.144330696664	3.02365432535612
lmer_pop	DT_A	F	AK	AK17	203.276535716851	215.442651711481	313.600713870422	228.166110894337	228.012492060479	219.675109521818	5.77615512246563	2.5056446040007	2.9279521862371	2.4703013507915	8.22754121816619	3.0620812332864
lmer_pop	DT_A	F	AK	AK18	223.49353571685	227.797651711481	NA	238.509110894337	231.938492060479	222.551109521818	7.29974684484236	2.5747914248649	NA	2.37297361209987	8.36879886821422	3.30766526106327
lmer_pop	DT_A	F	AK	AK2	204.550535716851	222.785651711481	NA	227.605110894337	231.750492060479	212.939109521818	5.92939524730692	2.4738374808297	NA	2.40074254423966	8.27996633426873	2.88083694075953
lmer_pop	DT_A	F	AK	AK20	212.873535716851	223.787651711481	NA	232.272110894337	232.070492060479	225.587109521818	6.75145754624777	2.47770193557616	NA	2.37801256593028	8.28160724114731	3.23769277097824
lmer_pop	DT_A	F	AK	AK21	255.165535716851	226.050651711481	307.978713870422	232.475110894337	247.755492060479	219.890109521818	7.29974684484236	2.4908713097143	2.9279521862371	2.43203284593821	8.24963814337475	3.25158568689874
lmer_pop	DT_A	F	AK	AK3	214.062535716851	221.135651711481	NA	228.738110894337	240.073492060479	219.721109521818	7.69538036738834	2.4738374808297	NA	2.5259698659569	8.33584515790832	3.05380115253838
lmer_pop	DT_A	F	AK	AK4	207.622535716851	228.001651711481	308.341713870422	229.954110894337	229.659492060479	221.349109521818	5.77615512246563	2.54007221975239	2.9449619700245	2.49765104923052	8.27914594004862	3.21006393694031
lmer_pop	DT_A	F	AK	AK5	206.198535716851	226.288651711481	NA	229.831110894337	233.086492060479	223.576109521818	5.92939524730692	2.38913182590619	NA	2.46348143157652	8.37044816581666	3.0455458425781
lmer_pop	DT_A	F	AK	AK6	208.497535716851	221.714651711481	310.227713870422	236.873110894337	237.767492060479	223.693109521818	6.24672073961898	2.55739611354163	2.9279521862371	2.46859570681842	8.26028779744529	3.14691189569151
lmer_pop	DT_A	F	AK	AK7	212.53053571685	219.905651711481	NA	226.051110894337	245.317492060479	217.259109521818	7.29974684484236	2.51188194021093	NA	2.42102060373767	8.22835910109808	3.03047611428382
lmer_pop	DT_A	F	AK	AK8	232.949535716851	227.962651711481	311.749713870422	234.812110894337	246.842492060479	220.019109521818	6.75145754624777	2.44766825398334	2.69572921579498	2.35202652275061	8.34654835825106	3.00532435508129
lmer_pop	DT_A	F	AK	AK9	204.431535716851	221.081651711481	308.427713870422	229.459110894337	233.443492060479	226.384109521818	5.65306713199003	2.37260086857395	2.89489360856157	2.41594469384593	8.21282621858173	3.03047611428382
lmer_pop	DT_A	F	GI	GI1	260.296476160903	228.27635510077	NA	237.049654601447	254.875214475701	219.698710024662	9.97809559467843	2.60513458026214	NA	2.46700736482354	8.65725996726473	2.8518889477205
lmer_pop	DT_A	F	GI	GI10	224.460476160903	225.90335510077	NA	241.706654601447	234.517214475701	231.387710024662	7.02402183200914	2.28859152783488	NA	2.55240853667543	8.64227592366759	3.31066316168382
lmer_pop	DT_A	F	GI	GI11	225.081476160903	223.19635510077	NA	239.387654601447	255.743214475701	223.517710024662	6.92816394844558	2.67281484231093	NA	2.75275377360446	8.59034953542663	3.18224693732751
lmer_pop	DT_A	F	GI	GI12	218.380476160903	236.77535510077	NA	248.352654601447	249.705214475701	228.960710024662	8.21244608484835	2.95653415019641	NA	2.68243421878219	8.76576369410017	3.87121990722955
