"Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1","RE","RE15",0.803333333333333,0.196553639837408,0.88,0.58,0.95,0.113480296870328,0.244672580710466,0.58
"Gibert","1","RE","RE18",0.81,0.0360555127546399,0.8,0.78,0.85,0.0208166599946613,0.0445129787094319,0.85
"Gibert","1","RE","RE3",0.436666666666667,0.110151410945722,0.43,0.33,0.55,0.0635959467611297,0.252255139570356,0.43
"Gibert","1","RE","RE6",0.553333333333333,0.141891977691952,0.58,0.4,0.68,0.0819213715162967,0.256431284985455,0.68
"Gibert","1","RE","RE7",0.7,0.1,0.7,0.6,0.8,0.0577350269189626,0.142857142857143,0.6
"Gibert","1","RE","RE8",0.41,0.115325625946708,0.45,0.28,0.5,0.0665832811847939,0.281282014504166,0.45
"Gibert","1","UM","UM17",0.71,0.0529150262212918,0.73,0.65,0.75,0.0305505046330389,0.0745282059454814,0.73
"Gibert","1","UM","UM18",0.693333333333333,0.0404145188432738,0.7,0.65,0.73,0.0233333333333333,0.058290171408568,0.7
"Gibert","1","UM","UM2",0.86,0.0360555127546399,0.85,0.83,0.9,0.0208166599946613,0.0419250148309767,0.85
"Gibert","1","UM","UM20",0.626666666666667,0.136503968196288,0.65,0.48,0.75,0.0788106027835793,0.21782548116429,0.75
"Gibert","1","UM","UM23",0.503333333333333,0.116761865920913,0.48,0.4,0.63,0.0674124947205223,0.231977217061417,0.63
"Gibert","1","UM","UM25",0.87,0.0529150262212919,0.85,0.83,0.93,0.030550504633039,0.0608218692198757,0.83
"Gibert","1","UM","UM29",0.643333333333333,0.0602771377334171,0.65,0.58,0.7,0.0348010216963685,0.0936950327462442,0.65
"Gibert","1","UM","UM7",0.703333333333333,0.0251661147842358,0.7,0.68,0.73,0.0145296631451356,0.0357812058543637,0.7
"Gibert","1","UM","UM9",0.783333333333333,0.0763762615825973,0.8,0.7,0.85,0.0440958551844099,0.0975016105309753,0.7
"Gibert","1","VA","VA1",0.62,0.115325625946708,0.58,0.53,0.75,0.0665832811847939,0.186009074107593,0.75
"Gibert","1","VA","VA15",0.553333333333333,0.0750555349946514,0.55,0.48,0.63,0.0433333333333333,0.135642533122864,0.63
"Gibert","1","VA","VA30",0.716666666666667,0.125830573921179,0.7,0.6,0.85,0.0726483157256779,0.175577545006296,0.85
"Gibert","1","VA","VA35",0.736666666666667,0.100664459136943,0.75,0.63,0.83,0.0581186525805423,0.136648587063724,0.63
"Gibert","1","VA","VA44",0.726666666666667,0.0642910050732864,0.7,0.68,0.8,0.0371184290855335,0.0884738601925959,0.68
"Gibert","1","VA","VA47",0.703333333333333,0.0680685928555405,0.68,0.65,0.78,0.0392994204085053,0.0967799898420006,0.68
"Gibert","1","VA","VA48",0.71,0.0854400374531753,0.7,0.63,0.8,0.0493288286231625,0.120338080919965,0.7
"Gibert","1","VA","VA57",0.57,0.121655250605964,0.63,0.43,0.65,0.0702376916856849,0.21343026422099,0.43
"Gibert","1","VA","VA67",0.453333333333333,0.0642910050732864,0.48,0.38,0.5,0.0371184290855335,0.141818393544014,0.38
"Gibert","1","VA","VA9",0.693333333333333,0.125033328890074,0.75,0.55,0.78,0.072188026092359,0.180336532052991,0.75
"Gibert","1","YE","YE11",0.236666666666667,0.0404145188432738,0.23,0.2,0.28,0.0233333333333333,0.170765572577213,0.28
"Gibert","1","YE","YE14",0.743333333333333,0.125033328890074,0.8,0.6,0.83,0.0721880260923591,0.168206272049426,0.83
"Gibert","1","YE","YE21",0.32,0.165227116418583,0.33,0.15,0.48,0.0953939201416946,0.516334738808072,0.33
"Gibert","1","YE","YE23",0.553333333333333,0.156950098226581,0.5,0.43,0.73,0.0906151814604546,0.28364475583117,0.43
"Gibert","1","YE","YE26",0.293333333333333,0.125033328890074,0.35,0.15,0.38,0.0721880260923591,0.426249984852524,0.15
"Gibert","1","YE","YE27",0.52,0.0173205080756888,0.53,0.5,0.53,0.01,0.0333086693763246,0.53
"Gibert","1","YE","YE33",0.643333333333333,0.128970280814354,0.68,0.5,0.75,0.0744610263456289,0.20047193908967,0.5
"Gibert","1","YE","YE48",0.52,0.0360555127546399,0.53,0.48,0.55,0.0208166599946613,0.0693375245281537,0.55
"Gibert","1","YE","YE49",0.76,0.0793725393319377,0.73,0.7,0.85,0.0458257569495584,0.10443755175255,0.85
"Gibert","1","YE","YE80",0.66,0.0692820323027551,0.7,0.58,0.7,0.04,0.104972776216296,0.7
