Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	Censor	LSL_AgeAtDeath_days	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	10	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	1	0	34	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	2	0	41	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	3	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	4	0	52	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	5	0	55	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	6	0	61	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	7	0	72	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	8	0	75	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	9	0	79	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	1	Pasyukova_1_AK3_1	10	0	79	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	1	0	18	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	2	0	40	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	3	0	40	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	4	0	47	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	5	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	6	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	7	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	8	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	9	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	2	Pasyukova_1_AK3_2	10	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	1	0	48	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	2	0	52	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	3	0	52	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	4	0	54	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	5	0	59	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	6	0	59	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	7	0	62	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	8	0	64	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	9	0	76	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	M	2	Pasyukova_1_AK3_2	10	0	79	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	3	Pasyukova_1_AK3_3	1	0	26	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	3	Pasyukova_1_AK3_3	2	0	39	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
