Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	M	MU	MU19	-0.003	0.004	0.004	0.005	0.006	0.007
lmer_pop	DW	M	MU	MU2	0.005	-0.015	0.02	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU20	-0.006	-0.007	0.012	0.005	0.006	0.007
lmer_pop	DW	M	MU	MU3	0.026	-0.006	0.009	0.005	0.006	0.003
lmer_pop	DW	M	MU	MU4	0.011	0.014	0.02	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU5	0.003	0.021	0.018	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU6	-0.015	-0.01	0.002	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU7	-0.007	-0.027	-0.025	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU8	0.016	0	0.021	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU9	-0.012	-0.015	-0.026	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE10	0.007	-0.001	0.026	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE11	0.01	-0.012	-0.018	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE12	-0.01	-0.005	-0.029	0.005	0.005	0.006
lmer_pop	DW	M	RE	RE13	0.024	0.028	0.024	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE15	-0.009	-0.02	-0.015	0.005	0.005	0.006
lmer_pop	DW	M	RE	RE16	0.001	-0.011	0.001	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE17	-0.012	0.005	-0.018	0.005	0.005	0.006
lmer_pop	DW	M	RE	RE18	-0.015	-0.023	-0.022	0.005	0.006	0.007
lmer_pop	DW	M	RE	RE2	0.038	0.033	0.031	0.005	0.005	0.006
lmer_pop	DW	M	RE	RE3	-0.005	-0.001	-0.005	0.005	0.006	0.007
lmer_pop	DW	M	RE	RE4	-0.02	-0.014	-0.008	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE5	-0.024	0.005	-0.019	0.005	0.005	0.006
lmer_pop	DW	M	RE	RE6	0.004	-0.019	-0.01	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE7	0.007	0.026	0.047	0.005	0.006	0.006
lmer_pop	DW	M	RE	RE8	0.002	0.008	0.004	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM13	-0.002	-0.001	-0.028	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM17	-0.033	-0.009	-0.042	0.005	0.005	0.006
lmer_pop	DW	M	UM	UM18	0.025	-0.003	-0.003	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM2	-0.018	-0.029	0.008	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM20	0.017	0.005	-0.003	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM21	-0.004	-0.036	-0.004	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM22	-0.014	NA	-0.001	0.005	NA	0.006
lmer_pop	DW	M	UM	UM23	-0.023	-0.023	-0.005	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM25	0.019	0.011	0.034	0.005	0.006	0.007
lmer_pop	DW	M	UM	UM26	0.008	-0.003	0.009	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM28	0.016	0.013	0	0.005	0.006	0.007
